Slide,status,axis,pt1,pt2,pt3,pt4,pt5,pt6,pt7 ,pt8
F_U2,Original,x,128,930,1835,1834,1836,1353,130,130
F_U2,Original,y,195,195,193,651,1821,1812,1814,645
F_U2,Aligned,x,156,959,1864,1859,1851,1368,144,155
F_U2,Aligned,y,146,153,159,617,1778,1775,1776,597
F_U3,Original,x,131,896,1836,1836,1837,1265,132,132
F_U3,Original,y,202,202,200,1359,1818,1818,1820,913
F_U3,Aligned,x,123,888,1828,1810,1804,1232,99,113
F_U3,Aligned,y,244,256,269,1428,1887,1878,1862,955
F_U4,Original,x,130,706,1836,1836,1838,1411,131,131
F_U4,Original,y,193,194,192,1249,1811,1810,1812,740
F_U4,Aligned,x,132,708,1838,1838,1840,1413,133,133
F_U4,Aligned,y,199,200,198,1255,1817,1816,1818,746
